borough,neighbourhood,total_reviews
Bronx,Allerton,2024
,Baychester,514
,Belmont,211
,Bronxdale,524
,Castle Hill,128
,City Island,563
,Claremont Village,457
,Clason Point,437
,Concourse,2150
,Concourse Village,426
,Co-op City,54
,Country Club,0
,East Morrisania,499
,Eastchester,222
,Edenwald,294
,Fieldston,183
,Fordham,331
,Highbridge,911
,Hunts Point,282
,Kingsbridge,750
,Longwood,1350
,Melrose,159
,Morris Heights,581
,Morris Park,306
,Morrisania,239
,Mott Haven,1905
,Mount Eden,8
,Mount Hope,543
,North Riverdale,20
,Norwood,632
,Olinville,80
,Parkchester,1074
,Pelham Bay,289
,Pelham Gardens,861
,Port Morris,1114
,Riverdale,233
,Schuylerville,559
,Soundview,552
,Spuyten Duyvil,82
,Throgs Neck,909
,Tremont,297
,Unionport,281
,University Heights,827
,Van Nest,222
,Wakefield,1827
,West Farms,1
,Westchester Square,228
,Williamsbridge,1460
,Woodlawn,704
Brooklyn,Bath Beach,708
,Bay Ridge,3339
,Bedford-Stuyvesant,84320
,Bensonhurst,1906
,Bergen Beach,358
,Boerum Hill,3113
,Borough Park,1532
,Brighton Beach,1239
,Brooklyn Heights,2668
,Brownsville,1877
,Bushwick,34206
,Canarsie,5527
,Carroll Gardens,4321
,Clinton Hill,11385
,Cobble Hill,2346
,Columbia St,871
,Coney Island,623
,Crown Heights,27131
,Cypress Hills,3128
,Downtown Brooklyn,1540
,DUMBO,1616
,Dyker Heights,436
,East Flatbush,11275
,East New York,6348
,Flatbush,11062
,Flatlands,1286
,Fort Greene,8321
,Fort Hamilton,621
,Gerritsen Beach,0
,Gowanus,5996
,Gravesend,1475
,Greenpoint,12430
,Kensington,2536
,Manhattan Beach,437
,Midwood,1557
,Mill Basin,12
,Navy Yard,196
,Park Slope,10895
,Prospect Heights,9184
,Prospect-Lefferts Gardens,10318
,Red Hook,1912
,Sea Gate,38
,Sheepshead Bay,3016
,South Slope,7957
,Sunset Park,7646
,Vinegar Hill,308
,Williamsburg,56473
,Windsor Terrace,3039
Manhattan,Battery Park City,373
,Chelsea,17622
,Chinatown,5367
,Civic Center,168
,East Harlem,22373
,East Village,30461
,Financial District,4812
,Flatiron District,1252
,Gramercy,4039
,Greenwich Village,3740
,Harlem,55439
,Hell's Kitchen,33227
,Inwood,2954
,Kips Bay,4437
,Little Italy,1826
,Lower East Side,14791
,Marble Hill,251
,Midtown,15063
,Morningside Heights,2562
,Murray Hill,4086
,NoHo,563
,Nolita,3385
,Roosevelt Island,1134
,SoHo,6853
,Stuyvesant Town,333
,Theater District,6055
,Tribeca,1303
,Two Bridges,1258
,Upper East Side,19986
,Upper West Side,25423
,Washington Heights,12593
,West Village,11644
Queens,Arverne,2370
,Astoria,16909
,Bay Terrace,276
,Bayside,1096
,Bayswater,397
,Belle Harbor,162
,Bellerose,145
,Briarwood,855
,Cambria Heights,925
,College Point,704
,Corona,1268
,Ditmars Steinway,5666
,Douglaston,111
,East Elmhurst,10589
,Edgemere,237
,Elmhurst,3831
,Far Rockaway,369
,Flushing,14466
,Forest Hills,1998
,Fresh Meadows,1198
,Glendale,1645
,Hollis,224
,Holliswood,20
,Howard Beach,764
,Jackson Heights,6159
,Jamaica,9034
,Jamaica Estates,653
,Jamaica Hills,88
,Kew Gardens,311
,Kew Gardens Hills,489
,Laurelton,671
,Little Neck,10
,Long Island City,7896
,Maspeth,2518
,Middle Village,586
,Neponsit,15
,Ozone Park,1083
,Queens Village,2410
,Rego Park,1910
,Richmond Hill,1779
,Ridgewood,5557
,Rockaway Beach,1743
,Rosedale,1820
,South Ozone Park,1700
,Springfield Gardens,4971
,St. Albans,2736
,Sunnyside,5999
,Whitestone,60
,Woodhaven,2258
,Woodside,4341
Staten Island,Arden Heights,36
,Arrochar,612
,Bull's Head,65
,Castleton Corners,290
,Clifton,489
,Concord,351
,Dongan Hills,134
,Eltingville,274
,Emerson Hill,85
,Fort Wadsworth,0
,Graniteville,36
,Grant City,187
,Great Kills,178
,Grymes Hill,206
,Howland Hook,23
,Huguenot,211
,Lighthouse Hill,56
,Mariners Harbor,247
,Midland Beach,51
,New Brighton,308
,New Dorp,10
,New Dorp Beach,240
,New Springville,72
,Oakwood,23
,Port Richmond,104
,Prince's Bay,15
,Randall Manor,395
,Richmondtown,117
,Rosebank,137
,Rossville,31
,Shore Acres,167
,Silver Lake,212
,South Beach,111
,St. George,2498
,Stapleton,166
,Todt Hill,20
,Tompkinsville,1900
,Tottenville,72
,West Brighton,565
,Westerleigh,21
,Willowbrook,19
,Woodrow,0
