Row Labels,neighbourhood,Average of price
Bronx,Allerton,108.4516129
Bronx,Baychester,91.71428571
Bronx,Belmont,54.9375
Bronx,Bronxdale,64.15789474
Bronx,Castle Hill,68
Bronx,City Island,132
Bronx,Claremont Village,77.56
Bronx,Clason Point,88.88888889
Bronx,Concourse,80
Bronx,Concourse Village,60.17391304
Bronx,Co-op City,59.2
Bronx,Country Club,68
Bronx,East Morrisania,97.91666667
Bronx,Eastchester,152.0714286
Bronx,Edenwald,138.125
Bronx,Fieldston,233.6153846
Bronx,Fordham,76.47222222
Bronx,Highbridge,76.375
Bronx,Hunts Point,50.15789474
Bronx,Kingsbridge,89.16666667
Bronx,Longwood,90.79166667
Bronx,Melrose,56.375
Bronx,Morris Heights,116.35
Bronx,Morris Park,79.13636364
Bronx,Morrisania,80.72727273
Bronx,Mott Haven,106.7924528
Bronx,Mount Eden,108.75
Bronx,Mount Hope,75.2
Bronx,North Riverdale,104.4285714
Bronx,Norwood,74.53571429
Bronx,Olinville,75.25
Bronx,Parkchester,94.38461538
Bronx,Pelham Bay,146.1
Bronx,Pelham Gardens,101.6
Bronx,Port Morris,85.88235294
Bronx,Riverdale,389.7142857
Bronx,Schuylerville,56.7
Bronx,Soundview,48.61538462
Bronx,Spuyten Duyvil,75.75
Bronx,Throgs Neck,77.40740741
Bronx,Tremont,76.78571429
Bronx,Unionport,151
Bronx,University Heights,48.0625
Bronx,Van Nest,85.36363636
Bronx,Wakefield,104.7166667
Bronx,West Farms,65
Bronx,Westchester Square,62.25
Bronx,Williamsbridge,91.97560976
Bronx,Woodlawn,93.83333333
Brooklyn,Bath Beach,78.33333333
Brooklyn,Bay Ridge,99.272
Brooklyn,Bedford-Stuyvesant,105.0736059
Brooklyn,Bensonhurst,78.046875
Brooklyn,Bergen Beach,121.4166667
Brooklyn,Boerum Hill,186.6518519
Brooklyn,Borough Park,67.78888889
Brooklyn,Brighton Beach,105.8214286
Brooklyn,Brooklyn Heights,187.0517241
Brooklyn,Brownsville,91.33928571
Brooklyn,Bushwick,85.45493043
Brooklyn,Canarsie,107.6328125
Brooklyn,Carroll Gardens,184.2682927
Brooklyn,Clinton Hill,163.7523364
Brooklyn,Cobble Hill,182.0263158
Brooklyn,Columbia St,177.59375
Brooklyn,Coney Island,82.53846154
Brooklyn,Crown Heights,114.2943294
Brooklyn,Cypress Hills,140.9690722
Brooklyn,Downtown Brooklyn,138.7894737
Brooklyn,DUMBO,197.03125
Brooklyn,Dyker Heights,85.0625
Brooklyn,East Flatbush,85.86702128
Brooklyn,East New York,91.02150538
Brooklyn,Flatbush,105.3899083
Brooklyn,Flatlands,114.0821918
Brooklyn,Fort Greene,152.1383285
Brooklyn,Fort Hamilton,117.3809524
Brooklyn,Gerritsen Beach,22.66666667
Brooklyn,Gowanus,143.5317919
Brooklyn,Gravesend,89.84375
Brooklyn,Greenpoint,129.361834
Brooklyn,Kensington,93.20661157
Brooklyn,Manhattan Beach,84.6
Brooklyn,Midwood,75.70114943
Brooklyn,Mill Basin,67.5
Brooklyn,Navy Yard,134.0833333
Brooklyn,Park Slope,170.2011173
Brooklyn,Prospect Heights,142.7860262
Brooklyn,Prospect-Lefferts Gardens,105.8730159
Brooklyn,Red Hook,155.6875
Brooklyn,Sea Gate,270
Brooklyn,Sheepshead Bay,195.2580645
Brooklyn,South Slope,145.3737864
Brooklyn,Sunset Park,110.4419355
Brooklyn,Vinegar Hill,222.2727273
Brooklyn,Williamsburg,134.6726212
Brooklyn,Windsor Terrace,132.2134831
Manhattan,Battery Park City,183.7605634
Manhattan,Chelsea,204.3143852
Manhattan,Chinatown,160.6749117
Manhattan,Civic Center,214.8285714
Manhattan,East Harlem,143.9639889
Manhattan,East Village,177.1555387
Manhattan,Financial District,167.9837398
Manhattan,Flatiron District,322.7941176
Manhattan,Gramercy,187.854251
Manhattan,Greenwich Village,252.6074074
Manhattan,Harlem,114.6750384
Manhattan,Hell's Kitchen,187.6653646
Manhattan,Inwood,73.54069767
Manhattan,Kips Bay,184.3834586
Manhattan,Little Italy,154.2735849
Manhattan,Lower East Side,212.7604618
Manhattan,Marble Hill,86.22222222
Manhattan,Midtown,240.1728395
Manhattan,Morningside Heights,110.6816327
Manhattan,Murray Hill,192.5377358
Manhattan,NoHo,224.86
Manhattan,Nolita,183.6243902
Manhattan,Roosevelt Island,113.2916667
Manhattan,SoHo,268.1232394
Manhattan,Stuyvesant Town,189.8983051
Manhattan,Theater District,264.5551948
Manhattan,Tribeca,370.5088757
Manhattan,Two Bridges,100.5223881
Manhattan,Upper East Side,174.4201619
Manhattan,Upper West Side,201.61167
Manhattan,Washington Heights,100.6146497
Manhattan,West Village,221.4698206
Queens,Arverne,210.6666667
Queens,Astoria,106.0403587
Queens,Bay Terrace,135.25
Queens,Bayside,180.7777778
Queens,Bayswater,74.2
Queens,Belle Harbor,258.5
Queens,Bellerose,90.54545455
Queens,Briarwood,362.625
Queens,Cambria Heights,106
Queens,College Point,106.6666667
Queens,Corona,64.28813559
Queens,Ditmars Steinway,92.12442396
Queens,Douglaston,100.5
Queens,East Elmhurst,82.57857143
Queens,Edgemere,100.4
Queens,Elmhurst,74.0349345
Queens,Far Rockaway,133.3928571
Queens,Flushing,97.59490085
Queens,Forest Hills,125.7368421
Queens,Fresh Meadows,117.2
Queens,Glendale,67.23913043
Queens,Hollis,79.14285714
Queens,Holliswood,211
Queens,Howard Beach,122.6666667
Queens,Jackson Heights,72.10731707
Queens,Jamaica,102.6629834
Queens,Jamaica Estates,219.8947368
Queens,Jamaica Hills,104.375
Queens,Kew Gardens,95.0625
Queens,Kew Gardens Hills,95.45833333
Queens,Laurelton,76.7037037
Queens,Little Neck,59.8
Queens,Long Island City,178.0569307
Queens,Maspeth,89.80645161
Queens,Middle Village,158.3333333
Queens,Neponsit,350
Queens,Ozone Park,93.78378378
Queens,Queens Village,126.6363636
Queens,Rego Park,109.943662
Queens,Richmond Hill,91.46376812
Queens,Ridgewood,83.51119403
Queens,Rockaway Beach,156.6170213
Queens,Rosedale,84.03448276
Queens,South Ozone Park,91.25925926
Queens,Springfield Gardens,102.4054054
Queens,St. Albans,108.0833333
Queens,Sunnyside,95.44055944
Queens,Whitestone,104
Queens,Woodhaven,72.15384615
Queens,Woodside,55.59714286
Staten Island,Arden Heights,95.33333333
Staten Island,Arrochar,84.66666667
Staten Island,Bull's Head,53
Staten Island,Castleton Corners,113.4
Staten Island,Clifton,92.63636364
Staten Island,Concord,81.21428571
Staten Island,Dongan Hills,124
Staten Island,Eltingville,154.25
Staten Island,Emerson Hill,62
Staten Island,Fort Wadsworth,800
Staten Island,Graniteville,70.5
Staten Island,Grant City,63.5
Staten Island,Great Kills,81.33333333
Staten Island,Grymes Hill,138.5555556
Staten Island,Howland Hook,152.5
Staten Island,Huguenot,180
Staten Island,Lighthouse Hill,200
Staten Island,Mariners Harbor,83
Staten Island,Midland Beach,130.2
Staten Island,New Brighton,243.8333333
Staten Island,New Dorp,107.5
Staten Island,New Dorp Beach,83.75
Staten Island,New Springville,97.33333333
Staten Island,Oakwood,134
Staten Island,Port Richmond,50
Staten Island,Prince's Bay,397.5
Staten Island,Randall Manor,228.7
Staten Island,Richmondtown,86.5
Staten Island,Rosebank,119.5
Staten Island,Rossville,80
Staten Island,Shore Acres,124.125
Staten Island,Silver Lake,88.5
Staten Island,South Beach,54.33333333
Staten Island,St. George,87.26666667
Staten Island,Stapleton,152
Staten Island,Todt Hill,127
Staten Island,Tompkinsville,89.66666667
Staten Island,Tottenville,309
Staten Island,West Brighton,83.38888889
Staten Island,Westerleigh,120.6666667
Staten Island,Willowbrook,309
Staten Island,Woodrow,255
