,borough,neighbourhood,price,number_of_reviews
0,Bronx,Allerton,108,2024
1,Bronx,Baychester,91,514
2,Bronx,Belmont,54,211
3,Bronx,Bronxdale,64,524
4,Bronx,Castle Hill,68,128
5,Bronx,City Island,132,563
6,Bronx,Claremont Village,77,457
7,Bronx,Clason Point,88,437
8,Bronx,Co-op City,59,54
9,Bronx,Concourse,80,2150
10,Bronx,Concourse Village,60,426
11,Bronx,Country Club,68,0
12,Bronx,East Morrisania,97,499
13,Bronx,Eastchester,152,222
14,Bronx,Edenwald,138,294
15,Bronx,Fieldston,233,183
16,Bronx,Fordham,76,331
17,Bronx,Highbridge,76,911
18,Bronx,Hunts Point,50,282
19,Bronx,Kingsbridge,89,750
20,Bronx,Longwood,90,1350
21,Bronx,Melrose,56,159
22,Bronx,Morris Heights,116,581
23,Bronx,Morris Park,79,306
24,Bronx,Morrisania,80,239
25,Bronx,Mott Haven,106,1905
26,Bronx,Mount Eden,108,8
27,Bronx,Mount Hope,75,543
28,Bronx,North Riverdale,104,20
29,Bronx,Norwood,74,632
30,Bronx,Olinville,75,80
31,Bronx,Parkchester,94,1074
32,Bronx,Pelham Bay,146,289
33,Bronx,Pelham Gardens,101,861
34,Bronx,Port Morris,85,1114
35,Bronx,Riverdale,389,233
36,Bronx,Schuylerville,56,559
37,Bronx,Soundview,48,552
38,Bronx,Spuyten Duyvil,75,82
39,Bronx,Throgs Neck,77,909
40,Bronx,Tremont,76,297
41,Bronx,Unionport,151,281
42,Bronx,University Heights,48,827
43,Bronx,Van Nest,85,222
44,Bronx,Wakefield,104,1827
45,Bronx,West Farms,65,1
46,Bronx,Westchester Square,62,228
47,Bronx,Williamsbridge,91,1460
48,Bronx,Woodlawn,93,704
49,Brooklyn,Bath Beach,78,708
50,Brooklyn,Bay Ridge,99,3339
51,Brooklyn,Bedford-Stuyvesant,105,84320
52,Brooklyn,Bensonhurst,78,1906
53,Brooklyn,Bergen Beach,121,358
54,Brooklyn,Boerum Hill,186,3113
55,Brooklyn,Borough Park,67,1532
56,Brooklyn,Brighton Beach,105,1239
57,Brooklyn,Brooklyn Heights,187,2668
58,Brooklyn,Brownsville,91,1877
59,Brooklyn,Bushwick,85,34206
60,Brooklyn,Canarsie,107,5527
61,Brooklyn,Carroll Gardens,184,4321
62,Brooklyn,Clinton Hill,163,11385
63,Brooklyn,Cobble Hill,182,2346
64,Brooklyn,Columbia St,177,871
65,Brooklyn,Coney Island,82,623
66,Brooklyn,Crown Heights,114,27131
67,Brooklyn,Cypress Hills,140,3128
68,Brooklyn,DUMBO,197,1616
69,Brooklyn,Downtown Brooklyn,138,1540
70,Brooklyn,Dyker Heights,85,436
71,Brooklyn,East Flatbush,85,11275
72,Brooklyn,East New York,91,6348
73,Brooklyn,Flatbush,105,11062
74,Brooklyn,Flatlands,114,1286
75,Brooklyn,Fort Greene,152,8321
76,Brooklyn,Fort Hamilton,117,621
77,Brooklyn,Gerritsen Beach,22,0
78,Brooklyn,Gowanus,143,5996
79,Brooklyn,Gravesend,89,1475
80,Brooklyn,Greenpoint,129,12430
81,Brooklyn,Kensington,93,2536
82,Brooklyn,Manhattan Beach,84,437
83,Brooklyn,Midwood,75,1557
84,Brooklyn,Mill Basin,67,12
85,Brooklyn,Navy Yard,134,196
86,Brooklyn,Park Slope,170,10895
87,Brooklyn,Prospect Heights,142,9184
88,Brooklyn,Prospect-Lefferts Gardens,105,10318
89,Brooklyn,Red Hook,155,1912
90,Brooklyn,Sea Gate,270,38
