,borough,neighbourhood,price
0,Bronx,Allerton,108
1,Bronx,Baychester,91
2,Bronx,Belmont,54
3,Bronx,Bronxdale,64
4,Bronx,Castle Hill,68
5,Bronx,City Island,132
6,Bronx,Claremont Village,77
7,Bronx,Clason Point,88
8,Bronx,Co-op City,59
9,Bronx,Concourse,80
10,Bronx,Concourse Village,60
11,Bronx,Country Club,68
12,Bronx,East Morrisania,97
13,Bronx,Eastchester,152
14,Bronx,Edenwald,138
15,Bronx,Fieldston,233
16,Bronx,Fordham,76
17,Bronx,Highbridge,76
18,Bronx,Hunts Point,50
19,Bronx,Kingsbridge,89
20,Bronx,Longwood,90
21,Bronx,Melrose,56
22,Bronx,Morris Heights,116
23,Bronx,Morris Park,79
24,Bronx,Morrisania,80
25,Bronx,Mott Haven,106
26,Bronx,Mount Eden,108
27,Bronx,Mount Hope,75
28,Bronx,North Riverdale,104
29,Bronx,Norwood,74
30,Bronx,Olinville,75
31,Bronx,Parkchester,94
32,Bronx,Pelham Bay,146
33,Bronx,Pelham Gardens,101
34,Bronx,Port Morris,85
35,Bronx,Riverdale,389
36,Bronx,Schuylerville,56
37,Bronx,Soundview,48
38,Bronx,Spuyten Duyvil,75
39,Bronx,Throgs Neck,77
40,Bronx,Tremont,76
41,Bronx,Unionport,151
42,Bronx,University Heights,48
43,Bronx,Van Nest,85
44,Bronx,Wakefield,104
45,Bronx,West Farms,65
46,Bronx,Westchester Square,62
47,Bronx,Williamsbridge,91
48,Bronx,Woodlawn,93
49,Brooklyn,Bath Beach,78
50,Brooklyn,Bay Ridge,99
51,Brooklyn,Bedford-Stuyvesant,105
52,Brooklyn,Bensonhurst,78
53,Brooklyn,Bergen Beach,121
54,Brooklyn,Boerum Hill,186
55,Brooklyn,Borough Park,67
56,Brooklyn,Brighton Beach,105
57,Brooklyn,Brooklyn Heights,187
58,Brooklyn,Brownsville,91
59,Brooklyn,Bushwick,85
60,Brooklyn,Canarsie,107
61,Brooklyn,Carroll Gardens,184
62,Brooklyn,Clinton Hill,163
63,Brooklyn,Cobble Hill,182
64,Brooklyn,Columbia St,177
65,Brooklyn,Coney Island,82
66,Brooklyn,Crown Heights,114
67,Brooklyn,Cypress Hills,140
68,Brooklyn,DUMBO,197
69,Brooklyn,Downtown Brooklyn,138
70,Brooklyn,Dyker Heights,85
71,Brooklyn,East Flatbush,85
72,Brooklyn,East New York,91
73,Brooklyn,Flatbush,105
74,Brooklyn,Flatlands,114
75,Brooklyn,Fort Greene,152
76,Brooklyn,Fort Hamilton,117
77,Brooklyn,Gerritsen Beach,22
78,Brooklyn,Gowanus,143
79,Brooklyn,Gravesend,89
80,Brooklyn,Greenpoint,129
81,Brooklyn,Kensington,93
82,Brooklyn,Manhattan Beach,84
83,Brooklyn,Midwood,75
84,Brooklyn,Mill Basin,67
85,Brooklyn,Navy Yard,134
86,Brooklyn,Park Slope,170
87,Brooklyn,Prospect Heights,142
88,Brooklyn,Prospect-Lefferts Gardens,105
89,Brooklyn,Red Hook,155
90,Brooklyn,Sea Gate,270
91,Brooklyn,Sheepshead Bay,195
92,Brooklyn,South Slope,145
93,Brooklyn,Sunset Park,110
94,Brooklyn,Vinegar Hill,222
95,Brooklyn,Williamsburg,134
96,Brooklyn,Windsor Terrace,132
97,Manhattan,Battery Park City,183
98,Manhattan,Chelsea,204
99,Manhattan,Chinatown,160
100,Manhattan,Civic Center,214
101,Manhattan,East Harlem,143
102,Manhattan,East Village,177
103,Manhattan,Financial District,167
104,Manhattan,Flatiron District,322
105,Manhattan,Gramercy,187
106,Manhattan,Greenwich Village,252
107,Manhattan,Harlem,114
108,Manhattan,Hell's Kitchen,187
109,Manhattan,Inwood,73
110,Manhattan,Kips Bay,184
111,Manhattan,Little Italy,154
