,borough,neighbourhood,room_type,price
0,Bronx,Allerton,Entire home/apt,172.14285714285714
1,Bronx,Allerton,Private room,56.0
2,Bronx,Baychester,Entire home/apt,108.55555555555556
3,Bronx,Baychester,Private room,61.4
4,Bronx,Belmont,Entire home/apt,77.0
5,Bronx,Belmont,Private room,41.7
6,Bronx,Bronxdale,Entire home/apt,82.42857142857143
7,Bronx,Bronxdale,Private room,53.72727272727273
8,Bronx,Bronxdale,Shared room,51.0
9,Bronx,Castle Hill,Entire home/apt,68.0
10,Bronx,City Island,Entire home/apt,151.0
11,Bronx,City Island,Private room,94.0
12,Bronx,Claremont Village,Entire home/apt,92.71428571428571
13,Bronx,Claremont Village,Private room,71.66666666666667
14,Bronx,Clason Point,Entire home/apt,115.55555555555556
15,Bronx,Clason Point,Private room,62.22222222222222
16,Bronx,Co-op City,Private room,59.2
17,Bronx,Concourse,Entire home/apt,102.52941176470588
18,Bronx,Concourse,Private room,68.4
19,Bronx,Concourse,Shared room,62.5
20,Bronx,Concourse Village,Entire home/apt,81.2
21,Bronx,Concourse Village,Private room,54.625
22,Bronx,Concourse Village,Shared room,52.0
23,Bronx,Country Club,Private room,68.0
24,Bronx,East Morrisania,Entire home/apt,124.0
25,Bronx,East Morrisania,Private room,79.28571428571429
26,Bronx,Eastchester,Entire home/apt,203.55555555555554
27,Bronx,Eastchester,Private room,59.4
28,Bronx,Edenwald,Entire home/apt,171.33333333333334
29,Bronx,Edenwald,Private room,118.2
30,Bronx,Fieldston,Entire home/apt,604.0
31,Bronx,Fieldston,Private room,69.0
32,Bronx,Fordham,Entire home/apt,154.25
33,Bronx,Fordham,Private room,67.17857142857143
34,Bronx,Fordham,Shared room,63.75
35,Bronx,Highbridge,Entire home/apt,102.9090909090909
36,Bronx,Highbridge,Private room,53.92307692307692
37,Bronx,Hunts Point,Entire home/apt,81.5
38,Bronx,Hunts Point,Private room,41.8
39,Bronx,Kingsbridge,Entire home/apt,113.52941176470588
40,Bronx,Kingsbridge,Private room,75.80645161290323
41,Bronx,Longwood,Entire home/apt,112.07142857142857
42,Bronx,Longwood,Private room,82.02941176470588
43,Bronx,Melrose,Entire home/apt,67.66666666666667
44,Bronx,Melrose,Private room,49.6
45,Bronx,Morris Heights,Entire home/apt,204.83333333333334
46,Bronx,Morris Heights,Private room,78.42857142857143
47,Bronx,Morris Park,Entire home/apt,99.57142857142857
48,Bronx,Morris Park,Private room,69.6
49,Bronx,Morrisania,Entire home/apt,112.16666666666667
50,Bronx,Morrisania,Private room,43.0
51,Bronx,Mott Haven,Entire home/apt,131.36
52,Bronx,Mott Haven,Hotel room,0.0
53,Bronx,Mott Haven,Private room,88.0
54,Bronx,Mount Eden,Entire home/apt,110.0
55,Bronx,Mount Eden,Private room,107.5
56,Bronx,Mount Hope,Entire home/apt,113.75
57,Bronx,Mount Hope,Private room,49.5
58,Bronx,North Riverdale,Entire home/apt,124.5
59,Bronx,North Riverdale,Private room,77.66666666666667
60,Bronx,Norwood,Entire home/apt,94.5
61,Bronx,Norwood,Private room,69.76190476190476
62,Bronx,Norwood,Shared room,55.0
63,Bronx,Olinville,Entire home/apt,125.0
64,Bronx,Olinville,Private room,75.0
65,Bronx,Olinville,Shared room,26.0
66,Bronx,Parkchester,Entire home/apt,137.41666666666666
67,Bronx,Parkchester,Private room,59.23076923076923
68,Bronx,Parkchester,Shared room,35.0
69,Bronx,Pelham Bay,Entire home/apt,145.66666666666666
70,Bronx,Pelham Bay,Shared room,150.0
71,Bronx,Pelham Gardens,Entire home/apt,108.8
72,Bronx,Pelham Gardens,Private room,94.4
73,Bronx,Port Morris,Entire home/apt,164.71428571428572
74,Bronx,Port Morris,Private room,41.0
75,Bronx,Port Morris,Shared room,25.153846153846153
76,Bronx,Riverdale,Entire home/apt,519.0
77,Bronx,Riverdale,Private room,66.5
78,Bronx,Schuylerville,Private room,59.111111111111114
79,Bronx,Schuylerville,Shared room,35.0
80,Bronx,Soundview,Entire home/apt,72.33333333333333
81,Bronx,Soundview,Private room,41.5
82,Bronx,Spuyten Duyvil,Entire home/apt,114.5
83,Bronx,Spuyten Duyvil,Private room,37.0
84,Bronx,Throgs Neck,Entire home/apt,116.33333333333333
85,Bronx,Throgs Neck,Private room,57.94444444444444
86,Bronx,Tremont,Entire home/apt,190.5
87,Bronx,Tremont,Private room,60.9
88,Bronx,Tremont,Shared room,42.5
89,Bronx,Unionport,Entire home/apt,166.16666666666666
90,Bronx,Unionport,Private room,60.0
91,Bronx,University Heights,Entire home/apt,110.0
92,Bronx,University Heights,Private room,43.93333333333333
93,Bronx,Van Nest,Entire home/apt,160.0
94,Bronx,Van Nest,Private room,61.142857142857146
95,Bronx,Van Nest,Shared room,31.0
96,Bronx,Wakefield,Entire home/apt,163.6086956521739
97,Bronx,Wakefield,Private room,68.10810810810811
98,Bronx,West Farms,Private room,65.0
99,Bronx,Westchester Square,Entire home/apt,85.5
100,Bronx,Westchester Square,Private room,54.5
101,Bronx,Williamsbridge,Entire home/apt,140.55555555555554
102,Bronx,Williamsbridge,Private room,53.95652173913044
103,Bronx,Woodlawn,Entire home/apt,154.33333333333334
104,Bronx,Woodlawn,Private room,33.333333333333336
105,Brooklyn,Bath Beach,Entire home/apt,102.11111111111111
106,Brooklyn,Bath Beach,Private room,59.125
107,Brooklyn,Bath Beach,Shared room,18.0
108,Brooklyn,Bay Ridge,Entire home/apt,161.49019607843138
109,Brooklyn,Bay Ridge,Private room,57.12307692307692
110,Brooklyn,Bay Ridge,Shared room,51.111111111111114
111,Brooklyn,Bedford-Stuyvesant,Entire home/apt,155.41051738761664
112,Brooklyn,Bedford-Stuyvesant,Hotel room,1000.0
113,Brooklyn,Bedford-Stuyvesant,Private room,66.18013698630136
114,Brooklyn,Bedford-Stuyvesant,Shared room,35.92
115,Brooklyn,Bensonhurst,Entire home/apt,102.90322580645162
116,Brooklyn,Bensonhurst,Private room,56.03333333333333
117,Brooklyn,Bensonhurst,Shared room,41.333333333333336
118,Brooklyn,Bergen Beach,Entire home/apt,121.0909090909091
119,Brooklyn,Bergen Beach,Private room,125.0
120,Brooklyn,Boerum Hill,Entire home/apt,208.42592592592592
121,Brooklyn,Boerum Hill,Private room,99.55555555555556
122,Brooklyn,Borough Park,Entire home/apt,112.52380952380952
123,Brooklyn,Borough Park,Private room,55.36507936507937
124,Brooklyn,Borough Park,Shared room,41.666666666666664
125,Brooklyn,Brighton Beach,Entire home/apt,129.84848484848484
126,Brooklyn,Brighton Beach,Private room,59.095238095238095
