,borough,neighbourhood,superhost
0,Manhattan,Midtown,False
1,Manhattan,Midtown,True
2,Manhattan,Midtown,False
3,Manhattan,Midtown,False
4,Manhattan,Midtown,False
5,Manhattan,Midtown,True
6,Manhattan,Midtown,False
7,Manhattan,Midtown,False
8,Manhattan,Midtown,True
9,Manhattan,Midtown,False
10,Manhattan,Midtown,False
11,Manhattan,Midtown,False
12,Manhattan,Midtown,False
13,Manhattan,Midtown,False
14,Manhattan,Midtown,False
15,Manhattan,Midtown,False
16,Manhattan,Midtown,False
17,Manhattan,Midtown,False
18,Manhattan,Midtown,True
19,Manhattan,Midtown,False
20,Manhattan,Midtown,False
21,Manhattan,Midtown,False
22,Manhattan,Midtown,False
23,Manhattan,Midtown,False
24,Manhattan,Midtown,False
25,Manhattan,Midtown,False
26,Manhattan,Midtown,False
27,Manhattan,Midtown,False
28,Manhattan,Midtown,False
29,Manhattan,Midtown,False
30,Manhattan,Midtown,True
31,Manhattan,Midtown,False
32,Manhattan,Midtown,False
33,Manhattan,Midtown,False
34,Manhattan,Midtown,False
35,Manhattan,Midtown,False
36,Manhattan,Midtown,False
37,Manhattan,Midtown,False
38,Manhattan,Midtown,False
39,Manhattan,Midtown,False
40,Manhattan,Midtown,False
41,Manhattan,Midtown,False
42,Manhattan,Midtown,False
43,Manhattan,Midtown,False
44,Manhattan,Midtown,False
45,Manhattan,Midtown,False
46,Manhattan,Midtown,False
47,Manhattan,Midtown,False
48,Manhattan,Midtown,False
49,Manhattan,Midtown,False
50,Manhattan,Midtown,False
51,Manhattan,Midtown,False
52,Manhattan,Midtown,False
53,Manhattan,Midtown,False
54,Manhattan,Midtown,False
55,Manhattan,Midtown,False
56,Manhattan,Midtown,False
57,Manhattan,Midtown,False
58,Manhattan,Midtown,False
59,Manhattan,Midtown,False
60,Manhattan,Midtown,False
61,Manhattan,Midtown,True
62,Manhattan,Midtown,True
63,Manhattan,Midtown,False
64,Manhattan,Midtown,True
65,Manhattan,Midtown,False
66,Manhattan,Midtown,False
67,Manhattan,Midtown,False
68,Manhattan,Midtown,False
69,Manhattan,Midtown,True
70,Manhattan,Midtown,False
71,Manhattan,Midtown,True
72,Manhattan,Midtown,False
73,Manhattan,Midtown,False
74,Manhattan,Midtown,False
75,Manhattan,Midtown,False
76,Manhattan,Midtown,False
77,Manhattan,Midtown,False
78,Manhattan,Midtown,True
79,Manhattan,Midtown,False
80,Manhattan,Midtown,True
81,Manhattan,Midtown,False
82,Manhattan,Midtown,False
83,Manhattan,Midtown,False
84,Manhattan,Midtown,False
85,Manhattan,Midtown,False
86,Manhattan,Midtown,False
87,Manhattan,Midtown,False
88,Manhattan,Midtown,False
89,Manhattan,Midtown,False
90,Manhattan,Midtown,False
91,Manhattan,Midtown,False
92,Manhattan,Midtown,False
93,Manhattan,Midtown,False
94,Manhattan,Midtown,False
95,Manhattan,Midtown,False
96,Manhattan,Midtown,False
97,Manhattan,Midtown,False
98,Manhattan,Midtown,False
99,Manhattan,Midtown,False
100,Manhattan,Midtown,False
101,Manhattan,Midtown,False
102,Manhattan,Midtown,False
103,Manhattan,Midtown,False
104,Manhattan,Midtown,False
105,Manhattan,Midtown,False
106,Manhattan,Midtown,False
107,Manhattan,Midtown,False
108,Manhattan,Midtown,False
109,Manhattan,Midtown,False
110,Manhattan,Midtown,False
111,Manhattan,Midtown,False
112,Manhattan,Midtown,False
113,Manhattan,Midtown,False
114,Manhattan,Midtown,False
115,Manhattan,Midtown,False
116,Manhattan,Midtown,False
117,Manhattan,Midtown,False
118,Manhattan,Midtown,False
119,Manhattan,Midtown,True
120,Manhattan,Midtown,False
121,Manhattan,Midtown,False
122,Manhattan,Midtown,True
123,Manhattan,Midtown,False
124,Manhattan,Midtown,False
125,Manhattan,Midtown,False
126,Manhattan,Midtown,True
127,Manhattan,Midtown,False
128,Manhattan,Midtown,False
129,Manhattan,Midtown,False
130,Manhattan,Midtown,False
131,Manhattan,Midtown,False
132,Manhattan,Midtown,True
133,Manhattan,Midtown,False
134,Manhattan,Midtown,False
135,Manhattan,Midtown,False
136,Manhattan,Midtown,False
137,Manhattan,Midtown,False
138,Manhattan,Midtown,False
139,Manhattan,Midtown,False
140,Manhattan,Midtown,False
141,Manhattan,Midtown,False
142,Manhattan,Midtown,False
143,Manhattan,Midtown,False
144,Manhattan,Midtown,False
145,Manhattan,Midtown,False
146,Manhattan,Midtown,False
147,Manhattan,Midtown,False
148,Manhattan,Midtown,False
149,Manhattan,Midtown,False
150,Manhattan,Midtown,False
151,Manhattan,Midtown,False
