,id,neighborhood_id,borough_id,latitude,longitude,roomtype_id,price,number_of_reviews,superhost,borough,neighbourhood,room_type
1,59855,115,3,40.7589,-73.9699,1,250,82,1,Manhattan,Midtown,Entire home/apt
3,235951,115,3,40.75348,-73.9707,1,125,145,1,Manhattan,Midtown,Entire home/apt
6,328040,115,3,40.74989,-73.984,1,269,30,1,Manhattan,Midtown,Entire home/apt
15,745037,115,3,40.76412,-73.9767,1,140,94,1,Manhattan,Midtown,Entire home/apt
27,2043060,115,3,40.76326,-73.9817,1,375,45,1,Manhattan,Midtown,Entire home/apt
55,4798723,115,3,40.75235,-73.9678,1,79,3,1,Manhattan,Midtown,Entire home/apt
57,4808239,115,3,40.75248,-73.967,1,130,3,1,Manhattan,Midtown,Entire home/apt
64,5343821,115,3,40.75624,-73.9642,1,200,105,1,Manhattan,Midtown,Entire home/apt
66,5478741,115,3,40.74495,-73.984,1,589,71,1,Manhattan,Midtown,Entire home/apt
73,6117496,115,3,40.76365,-73.9806,1,336,8,1,Manhattan,Midtown,Entire home/apt
75,6359111,115,3,40.7485,-73.9832,1,1143,94,1,Manhattan,Midtown,Entire home/apt
77,6476242,115,3,40.76015,-73.9638,1,333,25,1,Manhattan,Midtown,Entire home/apt
116,8806783,115,3,40.75606,-73.97,1,253,38,1,Manhattan,Midtown,Entire home/apt
121,9007767,115,3,40.76021,-73.966,1,135,10,1,Manhattan,Midtown,Entire home/apt
125,9232861,115,3,40.76021,-73.966,1,132,6,1,Manhattan,Midtown,Entire home/apt
132,9614378,115,3,40.75246,-73.9717,1,275,85,1,Manhattan,Midtown,Entire home/apt
174,12317903,115,3,40.75489,-73.9666,1,99,160,1,Manhattan,Midtown,Entire home/apt
180,12495831,115,3,40.75914,-73.9659,1,90,61,1,Manhattan,Midtown,Entire home/apt
182,12585015,115,3,40.755,-73.9667,1,218,86,1,Manhattan,Midtown,Entire home/apt
183,12604187,115,3,40.75369,-73.9663,1,218,97,1,Manhattan,Midtown,Entire home/apt
185,12778678,115,3,40.7602,-73.966,1,140,5,1,Manhattan,Midtown,Entire home/apt
202,13526398,115,3,40.7605,-73.9654,1,150,13,1,Manhattan,Midtown,Entire home/apt
207,13754150,115,3,40.75996,-73.9661,1,104,18,1,Manhattan,Midtown,Entire home/apt
212,13970217,115,3,40.7606,-73.9657,1,225,10,1,Manhattan,Midtown,Entire home/apt
222,14382598,115,3,40.75304,-73.9729,1,294,5,1,Manhattan,Midtown,Entire home/apt
239,15284819,115,3,40.75237,-73.9717,1,159,9,1,Manhattan,Midtown,Entire home/apt
245,15857259,115,3,40.76202,-73.9756,1,1299,5,1,Manhattan,Midtown,Entire home/apt
246,15857334,115,3,40.76023,-73.9738,1,749,12,1,Manhattan,Midtown,Entire home/apt
262,16777938,115,3,40.75441,-73.9696,1,149,64,1,Manhattan,Midtown,Entire home/apt
273,17561119,115,3,40.76037,-73.9651,1,109,11,1,Manhattan,Midtown,Entire home/apt
276,18199525,115,3,40.7606,-73.9657,1,350,2,1,Manhattan,Midtown,Entire home/apt
281,18944494,115,3,40.75312,-73.9733,1,343,0,1,Manhattan,Midtown,Entire home/apt
282,18957522,115,3,40.75271,-73.9678,1,120,193,1,Manhattan,Midtown,Entire home/apt
285,19153081,115,3,40.76436,-73.9779,1,283,0,1,Manhattan,Midtown,Entire home/apt
