id,name,host_id,borough_id,neighbourhood_id,latitude,longitude,room_type_id,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2595,Skylit Midtown Castle,2845,3,115,40.75362,-73.98377,1,175,30,48,11/4/2019,0.36,2,365
3831,"Whole flr w/private bdrm, bath & kitchen(pls read)",4869,2,63,40.68514,-73.95976,1,74,1,375,11/22/2020,4.97,1,307
5121,BlissArtsSpace!,7356,2,52,40.68688,-73.95596,2,60,30,50,12/2/2019,0.36,1,365
5178,Large Furnished Room Near B'way　,8967,3,115,40.76468,-73.98315,2,65,2,474,9/25/2020,3.36,1,0
5203,Cozy Clean Guest Room - Family Apt,7490,3,127,40.80178,-73.96723,2,75,2,118,7/21/2017,0.86,1,0
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,2,93,40.66829,-73.98779,2,89,4,182,10/17/2020,1.28,3,365
6848,Only 2 stops to Manhattan studio,15991,2,96,40.70837,-73.95352,1,109,30,181,3/16/2020,1.29,1,253
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,3,102,40.80139,-73.94244,2,65,30,0,,,2,365
6990,UES Beautiful Blue Room,16800,3,102,40.78962,-73.94802,2,62,30,233,12/9/2019,1.72,1,365
7097,Perfect for Your Parents:  Privacy + Garden,17571,2,76,40.69121,-73.97277,1,199,2,239,12/5/2020,1.8,2,344
7750,2 Furnished bedrooms next to Central Park,17985,3,102,40.79685,-73.94872,2,96,30,0,,,2,178
7801,Sweet and Spacious Brooklyn Loft,21207,2,96,40.71842,-73.95718,1,299,30,9,12/28/2011,0.07,1,365
8490,"MAISON DES SIRENES1,bohemian apartment",25183,2,52,40.68371,-73.94028,1,120,2,118,11/8/2020,0.86,2,352
9357,Midtown Pied-a-terre,30193,3,109,40.76715,-73.98533,1,150,30,58,8/13/2017,0.43,1,0
9657,Modern 1 BR / NYC / East Village,21904,3,103,40.7292,-73.98542,1,160,14,35,11/6/2020,0.26,1,90
9704,Spacious 1 bedroom in luxe building,32045,3,108,40.81305,-73.95466,2,55,30,98,3/14/2020,1.24,1,365
10452,Large B&B Style rooms,35935,2,52,40.6831,-73.95473,2,70,30,75,10/12/2019,0.58,3,195
10962,"Lovely Room 2; Garden; Best area, Legal",9744,2,93,40.66869,-73.9878,2,89,4,181,9/4/2020,1.33,3,365
11943,Country space in the city,45445,2,74,40.63702,-73.96327,2,150,30,0,,,1,365
12192,ENJOY Downtown NYC!,46978,3,103,40.7229,-73.98199,2,40,2,265,11/14/2020,1.96,2,193
12343,BEST BET IN HARLEM,47727,3,108,40.81175,-73.94478,1,150,30,107,12/7/2019,0.8,1,364
