id,superhost,neighborhood_id,borough_id,latitude,longitude,roomtype_id,price,number_of_reviews
2595,0,115,3,40.75362,-73.9838,1,175,48
3831,0,63,2,40.68514,-73.9598,1,74,375
5121,0,52,2,40.68688,-73.956,2,60,50
5178,0,115,3,40.76468,-73.9832,2,65,474
5203,0,127,3,40.80178,-73.9672,2,75,118
5803,1,93,2,40.66829,-73.9878,2,89,182
6848,0,96,2,40.70837,-73.9535,1,109,181
6872,0,102,3,40.80139,-73.9424,2,65,0
6990,0,102,3,40.78962,-73.948,2,62,233
7097,1,76,2,40.69121,-73.9728,1,199,239
7750,0,102,3,40.79685,-73.9487,2,96,0
7801,0,96,2,40.71842,-73.9572,1,299,9
8490,0,52,2,40.68371,-73.9403,1,120,118
9357,0,109,3,40.76715,-73.9853,1,150,58
9657,1,103,3,40.7292,-73.9854,1,160,35
9704,0,108,3,40.81305,-73.9547,2,55,98
10452,0,52,2,40.6831,-73.9547,2,70,75
10962,1,93,2,40.66869,-73.9878,2,89,181
11943,0,74,2,40.63702,-73.9633,2,150,0
12192,0,103,3,40.7229,-73.982,2,40,265
12343,0,108,3,40.81175,-73.9448,1,150,107
12937,1,165,4,40.74771,-73.9474,2,130,282
12940,0,52,2,40.68111,-73.9559,1,100,67
13121,0,158,4,40.67144,-73.765,2,75,65
13267,1,96,2,40.71751,-73.9629,1,245,35
13394,1,76,2,40.69142,-73.9738,2,80,143
13808,0,52,2,40.68064,-73.9404,2,81,141
14290,0,96,2,40.7042,-73.9356,1,146,103
14314,1,81,2,40.73506,-73.9539,1,99,180
14322,0,111,3,40.73961,-73.9807,1,200,20
15341,0,119,3,40.72297,-73.9968,1,150,26
15385,1,96,2,40.71185,-73.962,2,80,49
15396,0,99,3,40.74623,-73.9953,1,375,5
15711,1,126,3,40.77065,-73.9527,1,270,83
16326,1,88,2,40.67811,-73.9643,1,300,151
16338,0,76,2,40.68985,-73.9695,2,40,28
16580,0,103,3,40.72649,-73.979,2,53,419
16595,0,96,2,40.70933,-73.9679,1,220,182
16821,0,103,3,40.72298,-73.9847,2,69,119
16974,1,102,3,40.80164,-73.9392,1,300,214
17037,0,103,3,40.72162,-73.9801,1,250,53
17693,1,128,3,40.8306,-73.9404,2,65,60
17747,1,63,2,40.68346,-73.9637,2,95,128
18127,0,103,3,40.72828,-73.988,1,176,21
18195,0,182,4,40.7459,-73.9076,2,70,22
18198,0,182,4,40.75038,-73.9033,2,55,28
18728,1,99,3,40.74246,-74.002,2,150,184
18764,0,96,2,40.71154,-73.9611,2,145,63
18961,0,111,3,40.73808,-73.98,2,95,1
19159,1,108,3,40.82915,-73.9514,1,110,58
19282,0,74,2,40.65401,-73.9632,1,130,17
19812,0,96,2,40.71833,-73.9575,1,105,61
20611,0,96,2,40.71156,-73.9622,2,85,193
20717,1,88,2,40.67832,-73.9724,2,85,45
20724,0,52,2,40.69898,-73.9403,2,50,31
20755,0,63,2,40.68634,-73.966,2,98,19
20913,0,96,2,40.70984,-73.9578,1,80,168
21456,0,127,3,40.79764,-73.9618,1,99,83
21644,0,108,3,40.82803,-73.9473,2,99,3
21794,1,99,3,40.74008,-74.0027,2,85,36
23135,0,62,2,40.67967,-74.0015,1,125,259
23545,0,108,3,40.82748,-73.9507,1,200,219
23686,0,129,3,40.73096,-74.0032,1,399,49
24285,0,87,2,40.66941,-73.9811,1,180,88
25235,0,52,2,40.68373,-73.9238,1,110,171
25406,0,96,2,40.71459,-73.9484,1,83,29
25696,0,108,3,40.8104,-73.9431,2,100,190
26012,0,79,2,40.68157,-73.9899,1,200,20
26362,0,109,3,40.75527,-73.9929,2,59,374
26520,0,63,2,40.68698,-73.9657,2,98,29
26785,1,93,2,40.66853,-73.9891,1,90,472
26969,1,96,2,40.71942,-73.9575,1,243,343
27006,0,127,3,40.77823,-73.9764,1,225,28
27644,1,108,3,40.82754,-73.9492,1,170,209
27759,0,127,3,40.77842,-73.9756,1,170,20
27883,0,103,3,40.72245,-73.9853,1,100,25
28907,0,126,3,40.778,-73.9482,1,150,21
29013,0,52,2,40.68332,-73.9547,2,70,64
29628,1,63,2,40.68414,-73.9635,2,89,282
29683,0,103,3,40.72392,-73.9914,1,145,111
30031,1,81,2,40.73494,-73.9503,2,49,196
31130,1,127,3,40.76921,-73.9833,2,99,66
31555,1,129,3,40.73442,-74.003,1,100,31
31902,0,75,2,40.63188,-73.9325,2,80,4
31994,0,63,2,40.68818,-73.9638,2,80,469
32023,0,52,2,40.68296,-73.9366,1,125,263
32037,1,63,2,40.68513,-73.9665,2,139,92
32329,0,103,3,40.72895,-73.9838,1,160,3
32363,0,148,4,40.74028,-73.8317,2,70,2
32965,0,52,2,40.68281,-73.9352,1,115,141
33009,1,96,2,40.71492,-73.9594,1,215,255
33014,0,103,3,40.72354,-73.983,1,125,34
33156,0,127,3,40.78849,-73.9688,1,150,20
36442,0,88,2,40.67447,-73.9662,1,121,4
36647,0,102,3,40.79295,-73.94,2,79,34
36703,0,129,3,40.73226,-74.004,1,200,136
38663,0,55,2,40.68559,-73.9809,1,650,23
39267,0,126,3,40.77456,-73.9532,1,99,265
39282,0,96,2,40.71088,-73.9506,2,65,223
39572,0,109,3,40.76233,-73.9885,2,139,44
39586,1,127,3,40.77953,-73.9883,2,102,181
39593,0,179,4,40.74559,-73.9231,2,79,29
39704,0,52,2,40.68306,-73.9466,1,135,337
42300,0,113,3,40.71824,-73.9932,1,450,57
42729,0,90,2,40.67854,-74.0028,1,125,169
42882,1,223,5,40.64633,-74.0816,2,70,176
43726,1,124,3,40.71915,-74.0102,1,250,12
44229,1,76,2,40.69098,-73.9711,2,110,231
44288,0,129,3,40.73756,-74.0041,1,170,87
45542,0,108,3,40.82374,-73.9373,1,100,18
45556,1,76,2,40.68834,-73.9758,2,65,253
45737,0,129,3,40.74002,-74.0066,2,41,23
45910,0,173,4,40.70382,-73.898,1,395,13
45935,0,35,1,40.8064,-73.924,2,60,0
45936,0,116,3,40.8063,-73.9599,2,75,129
46544,1,87,2,40.67994,-73.9786,1,150,58
46911,0,88,2,40.67868,-73.9731,2,100,51
47613,0,96,2,40.71217,-73.9471,2,81,28
48719,1,113,3,40.71882,-73.9885,1,192,116
50447,1,79,2,40.66932,-73.9898,1,136,176
51438,0,126,3,40.77333,-73.952,2,130,0
51850,0,158,4,40.67144,-73.765,2,65,53
53469,0,167,4,40.71722,-73.8786,1,107,33
53470,0,173,4,40.70234,-73.8982,2,167,6
53477,0,167,4,40.71546,-73.8785,1,350,20
53758,0,103,3,40.72681,-73.9878,2,109,95
54466,0,108,3,40.80234,-73.956,2,200,0
54508,0,88,2,40.6787,-73.9726,2,50,100
54544,0,108,3,40.81035,-73.946,1,161,122
54694,0,158,4,40.67144,-73.765,2,65,62
54860,1,102,3,40.79958,-73.9428,2,100,228
55982,0,76,2,40.68656,-73.9753,2,85,37
56525,0,81,2,40.729,-73.9583,1,245,74
56859,0,108,3,40.81219,-73.945,2,78,208
57166,1,142,4,40.77185,-73.905,1,119,39
57297,1,64,2,40.68926,-73.9939,1,109,242
57468,0,103,3,40.72821,-73.987,1,140,205
57618,1,109,3,40.7672,-73.9851,1,250,109
57754,1,105,3,40.7403,-73.985,1,257,124
