rates_id,neighbourhood_id,year,month,price
201711,1,2017,1,79
201721,1,2017,2,73
201731,1,2017,3,73
201741,1,2017,4,74
201751,1,2017,5,131
201761,1,2017,6,146
201771,1,2017,7,154
201781,1,2017,8,154
201791,1,2017,9,155
2017101,1,2017,10,154
2017111,1,2017,11,154
2017121,1,2017,12,155
201811,1,2018,1,77
201821,1,2018,2,79
201831,1,2018,3,80
201841,1,2018,4,81
201851,1,2018,5,86
201861,1,2018,6,91
201871,1,2018,7,103
201881,1,2018,8,102
201891,1,2018,9,100
2018101,1,2018,10,100
2018111,1,2018,11,100
2018121,1,2018,12,100
201911,1,2019,1,88
201921,1,2019,2,89
201931,1,2019,3,90
201941,1,2019,4,94
201951,1,2019,5,97
201961,1,2019,6,110
201971,1,2019,7,113
201981,1,2019,8,114
201991,1,2019,9,113
2019101,1,2019,10,113
2019111,1,2019,11,113
2019121,1,2019,12,113
202011,1,2020,1,93
202021,1,2020,2,95
202031,1,2020,3,95
202041,1,2020,4,98
202051,1,2020,5,96
202061,1,2020,6,96
202071,1,2020,7,97
202081,1,2020,8,98
202091,1,2020,9,97
2020101,1,2020,10,97
2020111,1,2020,11,98
2020121,1,2020,12,99
202111,1,2021,1,164
202121,1,2021,2,163
202131,1,2021,3,163
202141,1,2021,4,164
202151,1,2021,5,164
202161,1,2021,6,164
202171,1,2021,7,165
202181,1,2021,8,166
202191,1,2021,9,166
2021101,1,2021,10,168
2021111,1,2021,11,170
2021121,1,2021,12,170
201712,2,2017,1,79
201722,2,2017,2,79
201732,2,2017,3,79
201812,2,2018,1,80
201822,2,2018,2,80
201832,2,2018,3,80
201842,2,2018,4,80
201852,2,2018,5,70
201862,2,2018,6,70
201872,2,2018,7,70
201882,2,2018,8,70
201892,2,2018,9,70
2018102,2,2018,10,70
2018112,2,2018,11,70
2018122,2,2018,12,70
201912,2,2019,1,83
201922,2,2019,2,84
201932,2,2019,3,84
201942,2,2019,4,84
201952,2,2019,5,84
201962,2,2019,6,85
201972,2,2019,7,85
201982,2,2019,8,85
201992,2,2019,9,85
2019102,2,2019,10,85
2019112,2,2019,11,86
2019122,2,2019,12,85
202012,2,2020,1,87
202022,2,2020,2,88
202032,2,2020,3,88
202042,2,2020,4,88
202052,2,2020,5,88
202062,2,2020,6,88
202072,2,2020,7,88
202082,2,2020,8,88
202092,2,2020,9,88
2020102,2,2020,10,88
2020112,2,2020,11,88
2020122,2,2020,12,88
202112,2,2021,1,83
202122,2,2021,2,83
202132,2,2021,3,83
202142,2,2021,4,83
202152,2,2021,5,83
202162,2,2021,6,83
202172,2,2021,7,83
202182,2,2021,8,83
202192,2,2021,9,83
2021102,2,2021,10,83
2021112,2,2021,11,83
2021122,2,2021,12,83
201913,3,2019,1,28
201923,3,2019,2,28
201933,3,2019,3,28
201943,3,2019,4,29
201953,3,2019,5,31
201963,3,2019,6,33
201973,3,2019,7,34
201983,3,2019,8,34
201993,3,2019,9,34
2019103,3,2019,10,34
2019113,3,2019,11,34
2019123,3,2019,12,34
202013,3,2020,1,45
202023,3,2020,2,45
202033,3,2020,3,47
202043,3,2020,4,56
202053,3,2020,5,60
202063,3,2020,6,56
202073,3,2020,7,56
202083,3,2020,8,57
202093,3,2020,9,58
2020103,3,2020,10,57
2020113,3,2020,11,57
2020123,3,2020,12,57
202113,3,2021,1,38
202123,3,2021,2,38
202133,3,2021,3,38
202143,3,2021,4,41
202153,3,2021,5,41
202163,3,2021,6,41
202173,3,2021,7,41
202183,3,2021,8,41
202193,3,2021,9,41
2021103,3,2021,10,41
2021113,3,2021,11,41
2021123,3,2021,12,41
201714,4,2017,1,40
201724,4,2017,2,40
201734,4,2017,3,40
201744,4,2017,4,40
201754,4,2017,5,49
201764,4,2017,6,49
201774,4,2017,7,53
201784,4,2017,8,53
201794,4,2017,9,53
2017104,4,2017,10,30
2017114,4,2017,11,30
2017124,4,2017,12,30
201814,4,2018,1,48
201824,4,2018,2,54
201834,4,2018,3,50
201844,4,2018,4,48
201854,4,2018,5,51
201864,4,2018,6,53
201874,4,2018,7,51
201884,4,2018,8,44
201894,4,2018,9,44
2018104,4,2018,10,44
2018114,4,2018,11,44
2018124,4,2018,12,44
201914,4,2019,1,54
201924,4,2019,2,55
201934,4,2019,3,55
201944,4,2019,4,55
201954,4,2019,5,57
201964,4,2019,6,57
201974,4,2019,7,55
201984,4,2019,8,55
201994,4,2019,9,55
2019104,4,2019,10,55
2019114,4,2019,11,55
2019124,4,2019,12,55
202014,4,2020,1,63
202024,4,2020,2,63
202034,4,2020,3,63
202044,4,2020,4,63
202054,4,2020,5,63
202064,4,2020,6,63
202074,4,2020,7,63
202084,4,2020,8,63
202094,4,2020,9,63
2020104,4,2020,10,63
2020114,4,2020,11,63
2020124,4,2020,12,63
202114,4,2021,1,66
202124,4,2021,2,67
202134,4,2021,3,67
202144,4,2021,4,67
202154,4,2021,5,67
202164,4,2021,6,67
202174,4,2021,7,66
202184,4,2021,8,67
202194,4,2021,9,67
2021104,4,2021,10,66
2021114,4,2021,11,67
2021124,4,2021,12,67
201915,5,2019,1,45
201925,5,2019,2,45
201935,5,2019,3,45
201945,5,2019,4,45
201955,5,2019,5,45
201965,5,2019,6,45
201975,5,2019,7,45
201985,5,2019,8,45
201995,5,2019,9,45
2019105,5,2019,10,45
2019115,5,2019,11,45
2019125,5,2019,12,45
202015,5,2020,1,67
