neighbourhood_id,neighbourhood
1,Allerton
2,Baychester
3,Belmont
4,Bronxdale
5,Castle Hill
6,City Island
7,Claremont Village
8,Clason Point
9,Concourse
10,Concourse Village
11,Co-op City
12,Country Club
13,Eastchester
14,East Morrisania
15,Edenwald
16,Fieldston
17,Fordham
18,Highbridge
19,Hunts Point
20,Kingsbridge
21,Longwood
22,Melrose
23,Morrisania
24,Morris Heights
25,Morris Park
26,Mott Haven
27,Mount Eden
28,Mount Hope
29,North Riverdale
30,Norwood
31,Olinville
32,Parkchester
33,Pelham Bay
34,Pelham Gardens
35,Port Morris
36,Riverdale
37,Schuylerville
38,Soundview
39,Spuyten Duyvil
40,Throgs Neck
41,Tremont
42,Unionport
43,University Heights
44,Van Nest
45,Wakefield
46,Westchester Square
47,West Farms
48,Williamsbridge
49,Woodlawn
50,Bath Beach
51,Bay Ridge
52,Bedford-Stuyvesant
53,Bensonhurst
54,Bergen Beach
55,Boerum Hill
56,Borough Park
57,Brighton Beach
58,Brooklyn Heights
59,Brownsville
60,Bushwick
61,Canarsie
62,Carroll Gardens
63,Clinton Hill
64,Cobble Hill
65,Columbia St
66,Coney Island
67,Crown Heights
68,Cypress Hills
69,Downtown Brooklyn
70,DUMBO
71,Dyker Heights
72,East Flatbush
73,East New York
74,Flatbush
75,Flatlands
76,Fort Greene
77,Fort Hamilton
78,Gerritsen Beach
79,Gowanus
80,Gravesend
81,Greenpoint
82,Kensington
83,Manhattan Beach
84,Midwood
85,Mill Basin
86,Navy Yard
87,Park Slope
88,Prospect Heights
89,Prospect-Lefferts Gardens
90,Red Hook
91,Sea Gate
92,Sheepshead Bay
93,South Slope
94,Sunset Park
95,Vinegar Hill
96,Williamsburg
97,Windsor Terrace
98,Battery Park City
99,Chelsea
100,Chinatown
101,Civic Center
102,East Harlem
103,East Village
104,Financial District
105,Flatiron District
106,Gramercy
107,Greenwich Village
108,Harlem
109,Hell's Kitchen
110,Inwood
111,Kips Bay
112,Little Italy
113,Lower East Side
114,Marble Hill
115,Midtown
116,Morningside Heights
117,Murray Hill
118,NoHo
119,Nolita
120,Roosevelt Island
121,SoHo
122,Stuyvesant Town
123,Theater District
124,Tribeca
125,Two Bridges
126,Upper East Side
127,Upper West Side
128,Washington Heights
129,West Village
130,Arverne
131,Astoria
132,Bayside
133,Bayswater
134,Bay Terrace
135,Belle Harbor
136,Bellerose
137,Breezy Point
138,Briarwood
139,Cambria Heights
140,College Point
141,Corona
142,Ditmars Steinway
143,Douglaston
144,East Elmhurst
145,Edgemere
146,Elmhurst
147,Far Rockaway
148,Flushing
149,Forest Hills
150,Fresh Meadows
151,Glendale
152,Glen Oaks
153,Hollis
154,Hollis Hills
155,Holliswood
156,Howard Beach
157,Jackson Heights
158,Jamaica
159,Jamaica Estates
160,Jamaica Hills
161,Kew Gardens
162,Kew Gardens Hills
163,Laurelton
164,Little Neck
165,Long Island City
166,Maspeth
167,Middle Village
168,Neponsit
169,Ozone Park
170,Queens Village
171,Rego Park
172,Richmond Hill
173,Ridgewood
174,Rockaway Beach
175,Rosedale
176,South Ozone Park
177,Springfield Gardens
178,St. Albans
179,Sunnyside
180,Whitestone
181,Woodhaven
182,Woodside
183,Arden Heights
184,Arrochar
185,"Bay Terrace, Staten Island"
186,Bloomfield
187,Bull's Head
188,Castleton Corners
189,Charleston
190,"Chelsea, Staten Island"
191,Clifton
192,Concord
193,Dongan Hills
194,Eltingville
195,Emerson Hill
196,Fort Wadsworth
197,Graniteville
198,Grant City
199,Great Kills
200,Grymes Hill
201,Howland Hook
202,Huguenot
203,Lighthouse Hill
204,Mariners Harbor
205,Midland Beach
206,New Brighton
207,New Dorp
208,New Dorp Beach
209,New Springville
210,Oakwood
211,Pleasant Plains
212,Port Ivory
213,Port Richmond
214,Prince's Bay
215,Randall Manor
216,Richmondtown
217,Rosebank
218,Rossville
219,Shore Acres
220,Silver Lake
221,South Beach
222,Stapleton
223,St. George
224,Todt Hill
225,Tompkinsville
226,Tottenville
227,West Brighton
228,Westerleigh
229,Willowbrook
230,Woodrow
