listing_id,day of week,price
2595,Friday,176.06
2595,Monday,175.9795918367347
2595,Saturday,175.9795918367347
2595,Sunday,175.9795918367347
2595,Thursday,176.08163265306123
2595,Tuesday,176.08163265306123
2595,Wednesday,176.08163265306123
3831,Friday,78.12
3831,Monday,76.83673469387755
3831,Saturday,78.3265306122449
3831,Sunday,76.95918367346938
3831,Thursday,77.44897959183673
3831,Tuesday,76.9795918367347
3831,Wednesday,77.04081632653062
5121,Friday,60.0
5121,Monday,60.0
5121,Saturday,60.0
5121,Sunday,60.0
5121,Thursday,60.0
5121,Tuesday,60.0
5121,Wednesday,60.0
5178,Friday,77.6
5178,Monday,77.85714285714286
5178,Saturday,77.57142857142857
5178,Sunday,77.57142857142857
5178,Thursday,77.85714285714286
5178,Tuesday,77.85714285714286
5178,Wednesday,77.85714285714286
5203,Friday,75.0
5203,Monday,75.0
5203,Saturday,75.0
5203,Sunday,75.0
5203,Thursday,75.0
5203,Tuesday,75.0
5203,Wednesday,75.0
5803,Friday,87.98
5803,Monday,87.89795918367346
5803,Saturday,87.79591836734694
5803,Sunday,87.89795918367346
5803,Thursday,87.89795918367346
5803,Tuesday,87.89795918367346
5803,Wednesday,87.89795918367346
6848,Friday,109.0
6848,Monday,109.0
6848,Saturday,109.0
6848,Sunday,109.0
6848,Thursday,109.0
6848,Tuesday,109.0
6848,Wednesday,109.0
6872,Friday,65.0
6872,Monday,65.0
6872,Saturday,65.0
6872,Sunday,65.0
6872,Thursday,65.0
6872,Tuesday,65.0
6872,Wednesday,65.0
6990,Friday,65.0
6990,Monday,65.0
6990,Saturday,65.0
6990,Sunday,65.0
6990,Thursday,65.0
6990,Tuesday,65.0
6990,Wednesday,65.0
7097,Friday,199.0
7097,Monday,190.83673469387756
7097,Saturday,199.0
7097,Sunday,190.83673469387756
7097,Thursday,190.83673469387756
7097,Tuesday,190.83673469387756
7097,Wednesday,190.83673469387756
7750,Friday,100.0
7750,Monday,95.0
7750,Saturday,100.0
7750,Sunday,95.0
7750,Thursday,95.0
7750,Tuesday,95.0
7750,Wednesday,95.0
7801,Friday,299.0
7801,Monday,299.0
7801,Saturday,299.0
7801,Sunday,299.0
7801,Thursday,299.0
7801,Tuesday,299.0
7801,Wednesday,299.0
8490,Friday,120.0
8490,Monday,120.0
8490,Saturday,120.0
8490,Sunday,120.0
8490,Thursday,120.0
8490,Tuesday,120.0
8490,Wednesday,120.0
9357,Friday,150.0
9357,Monday,150.0
9357,Saturday,150.0
9357,Sunday,150.0
9357,Thursday,150.0
9357,Tuesday,150.0
9357,Wednesday,150.0
9657,Friday,160.0
9657,Monday,160.0
9657,Saturday,160.0
9657,Sunday,160.0
9657,Thursday,160.0
9657,Tuesday,160.0
9657,Wednesday,160.0
9704,Friday,62.0
9704,Monday,52.0
9704,Saturday,62.0
9704,Sunday,52.0
9704,Thursday,52.0
9704,Tuesday,52.0
9704,Wednesday,52.0
10452,Friday,70.0
10452,Monday,70.0
10452,Saturday,70.0
10452,Sunday,70.0
10452,Thursday,70.0
10452,Tuesday,70.0
10452,Wednesday,70.0
10962,Friday,87.98
10962,Monday,87.89795918367346
10962,Saturday,87.79591836734694
10962,Sunday,87.89795918367346
10962,Thursday,87.89795918367346
10962,Tuesday,87.89795918367346
10962,Wednesday,87.89795918367346
11943,Friday,150.0
11943,Monday,150.0
11943,Saturday,150.0
11943,Sunday,150.0
11943,Thursday,150.0
11943,Tuesday,150.0
11943,Wednesday,150.0
12192,Friday,39.5
12192,Monday,39.59183673469388
12192,Saturday,39.48979591836735
12192,Sunday,39.48979591836735
12192,Thursday,39.59183673469388
12192,Tuesday,39.59183673469388
12192,Wednesday,39.59183673469388
12343,Friday,150.0
12343,Monday,150.0
12343,Saturday,150.0
12343,Sunday,150.0
12343,Thursday,150.0
12343,Tuesday,150.0
12343,Wednesday,150.0
12937,Friday,130.0
12937,Monday,130.0
12937,Saturday,130.0
12937,Sunday,130.0
12937,Thursday,130.0
12937,Tuesday,130.0
12937,Wednesday,130.0
12940,Friday,99.02
12940,Monday,99.0
12940,Saturday,99.0
12940,Sunday,99.0
12940,Thursday,99.0
12940,Tuesday,99.0
12940,Wednesday,99.0
13121,Friday,75.0
13121,Monday,75.0
13121,Saturday,75.0
13121,Sunday,75.0
13121,Thursday,75.0
13121,Tuesday,75.0
13121,Wednesday,75.0
13267,Friday,245.0
13267,Monday,245.0
13267,Saturday,245.0
13267,Sunday,245.0
13267,Thursday,245.0
13267,Tuesday,245.0
13267,Wednesday,245.0
13394,Friday,80.0
13394,Monday,80.0
13394,Saturday,80.0
13394,Sunday,80.0
13394,Thursday,80.0
13394,Tuesday,80.0
13394,Wednesday,80.0
13808,Friday,85.0
13808,Monday,80.0
13808,Saturday,85.0
13808,Sunday,80.0
13808,Thursday,80.0
13808,Tuesday,80.0
13808,Wednesday,80.0
14290,Friday,214.98
14290,Monday,204.24489795918367
14290,Saturday,216.22448979591837
14290,Sunday,216.16326530612244
14290,Thursday,205.08163265306123
14290,Tuesday,204.24489795918367
14290,Wednesday,204.24489795918367
14314,Friday,99.0
14314,Monday,99.0
14314,Saturday,99.0
14314,Sunday,99.0
14314,Thursday,99.0
14314,Tuesday,99.0
14314,Wednesday,99.0
14322,Friday,200.0
14322,Monday,200.0
14322,Saturday,200.0
14322,Sunday,200.0
14322,Thursday,200.0
14322,Tuesday,200.0
14322,Wednesday,200.0
15341,Friday,154.86
15341,Monday,155.51020408163265
15341,Saturday,155.51020408163265
15341,Sunday,154.79591836734693
15341,Thursday,155.57142857142858
15341,Tuesday,155.51020408163265
15341,Wednesday,155.51020408163265
15385,Friday,80.0
15385,Monday,80.0
15385,Saturday,80.0
15385,Sunday,80.0
15385,Thursday,80.0
15385,Tuesday,80.0
15385,Wednesday,80.0
15396,Friday,391.0
15396,Monday,391.3265306122449
15396,Saturday,391.3265306122449
15396,Sunday,391.3265306122449
15396,Thursday,391.3265306122449
15396,Tuesday,391.3265306122449
15396,Wednesday,391.3265306122449
15711,Friday,292.0
15711,Monday,200.0
15711,Saturday,291.83673469387753
15711,Sunday,202.0408163265306
15711,Thursday,200.0
15711,Tuesday,200.0
15711,Wednesday,200.0
16326,Friday,275.2
16326,Monday,274.6938775510204
16326,Saturday,277.3469387755102
16326,Sunday,277.3469387755102
16326,Thursday,274.6938775510204
16326,Tuesday,274.6938775510204
16326,Wednesday,274.6938775510204
16338,Friday,52.6
16338,Monday,52.3469387755102
16338,Saturday,52.55102040816327
16338,Sunday,52.6530612244898
16338,Thursday,52.55102040816327
16338,Tuesday,52.3469387755102
16338,Wednesday,52.3469387755102
16580,Friday,82.84
16580,Monday,81.59183673469387
16580,Saturday,82.3061224489796
16580,Sunday,80.87755102040816
16580,Thursday,82.73469387755102
16580,Tuesday,81.6734693877551
16580,Wednesday,82.0204081632653
16595,Friday,220.0
16595,Monday,220.0
16595,Saturday,220.0
16595,Sunday,220.0
16595,Thursday,220.0
16595,Tuesday,220.0
16595,Wednesday,220.0
16821,Friday,59.0
16821,Monday,59.0
16821,Saturday,59.0
16821,Sunday,59.0
16821,Thursday,59.0
16821,Tuesday,59.0
16821,Wednesday,59.0
16974,Friday,248.0
16974,Monday,245.91836734693877
16974,Saturday,248.46938775510205
16974,Sunday,243.87755102040816
16974,Thursday,244.3877551020408
16974,Tuesday,246.42857142857142
16974,Wednesday,246.42857142857142
